Nome;Descrizione;Tipo;Latitudine;Longitudine
Villa Calvanese;Villa Calvanese è una villa storica di Castel San Giorgio, appartenuta all'illustre famiglia Calvanese e progettata dall'architetto Luigi Vanvitelli. La struttura è composta da 50 stanze e si apre su due piani. Essa ospita un elegante giardino composto da due cisternoni, viali adornati con statue e busti marmorei degli antenati della famiglia e di personaggi dell’antichità classica;generici;40.77857;14.679
Castello di San Giorgio;Il Castello di San Giorgio è situato sulla vetta della montagna di Montecastello, a Castel San Giorgio. Esso è di origine longobarda-normanna, ed è circondato da tre cinte murarie, scandite da torrette quadrangolari d'epoca normanna. La torre angioina fu invece costruita nel XIV secolo circa;generici;40.78444;14.6933
Galleria Borbonica;"La Galleria Borbonica è un traforo ferroviario situato nella frazione di Trivio di Castel San Giorgio, nei pressi della ""Montagna Spaccata"" o ""Passo dell'Orco"", dove è rilevante la presenza di un mausoleo di epoca romana, chiamato, per l'appunto, ""campanile dell'orco"". La galleria oggi rappresenta il primo tunnel ferroviario d'Italia, che venne fatto costruire su ordine del re borbonico Ferdinando delle II Sicilie per collegare la via pedemontana nella valle del Sarno con quella del San Severino";generici;40.77091;14.65348
Pendino Lombardi;Il Pendino Lombardi è una salita a gradoni, per l'appunto un pendino, abbarbicata fino alla montagna di Castel San Giorgio, di particolare rilievo tra quelli che caratterizzano il borgo di Castel san Giorgio. Il Pendino Lombardi è sovrastato da un piccolo tempio con Crocifisso, che conduce ad una specie di cittadella religiosa, dove si trovano la Chiesa di Santa Maria delle Grazie, la Congrega dell'Immacolata Concezione ed il Monastero delle Suore Crocifisse Adoratrici dell'Eucarestia;generici;40.77987;14.69555
Vicoli di Casa Izzo;I Vicoli di Casa Izzo costituiscono il borgo del centro storico di Castel San Giorgio. Essi furono dedicati a Jean Claude Izzo, celebre scrittore e sceneggiatore francese, la cui famiglia, emigrata poi a Marsiglia, era originaria di Castel San Giorgio. Quest'ultimo, nonostante il trasferimento a Marsiglia, mantenne stabile il suo legame con San Giorgio, quindi con le origini del padre, Gennaro Izzo;generici;40.77963;14.69804
Vicolo degli Scalpellini;Il Vicolo degli Scalpellini costituisce il borgo della periferia di Castel San Giorgio, situato in Lanzara, insieme al Vicolo Setteventi e il Vicolo di via Monticelli a Castelluccio. Insieme conducono verso la montagna del paese;generici;40.77586;14.68027
Vicolo Setteventi;Il vicolo Setteventi costituisce il borgo della periferia di Castel San Giorgio, in Lanzara, insieme al Vicolo degli Scalpellini, situato nella medesima frazione, e il Vicolo di via Monticelli a Castelluccio. Insieme conducono verso la montagna del paese;generici;40.77604;14.68041
Chiesa di Santa Maria delle Grazie;La Chiesa di Santa Maria delle Grazie e di S. Croce in Castel San Giorgio appartiene alla diocesi Salerno-Campagna-Acerno. Adiacenti ad essa sono la Congrega dell'Immacolata Concezione e l'antico monastero delle Suore Crocifisse Adoratrici dell'Eucarestia;generici;40.78006;14.69501
Congrega dell'Immacolata Concezione;La Congrega dell'Immacolata Concezione è adiacente alla Chiesa di Santa Maria delle Grazie in Castel San Giorgio. La congrega tributa la tradizione della Vergine Immacolata, molto sentita nel sangiorgese;generici;40.77979;14.69511
Parco Francesco Apostolico;"Il parco si trova tra le frazioni di Castelluccio e Trivio, nell'area adiacente alla scuola dell'infanzia ""Aniello Grimaldi"". Al momento dell'installazione, di recente, della prima casa dell'acqua a costo zero di tutto l'agro nocerino sarnese, dall'amministrazione comunale di Castel San Giorgio nel parco, quest'ultimo venne intitolato a Francesco Apostolico un artigiano edile, originario della zona, che nel 2011 morì accidentalmente sul luogo di lavoro";generici;40.77488;14.67345
Chiesa di San Bartolomeo Apostolo;Al centro, vi è un' apertura circolare con una vetrata raffigurante San Bartolomeo Apostolo, titolare della parrocchia e patrono della città di Cordoba. Momentaneamente chiuso.;generici;40.72453923756257;14.593068645335734
Chiesa di San Giuseppe;La Chiesa sorge nell' antico borgo di Corbara, circondato dalle abitazioni del centro storico. Essa è in piccole dimensioni. Presenta una facciata rettangolare che si sviluppa in altezza, co un portale in marmo, sormontato;generici;40.71935054713628;14.592809637799617
Telegrafo;Cosi soprannominato per la precedente presenza del dispositivo di comunicazione. Una terrazza situata su uno dei punti più alti della città, famosa per la vista mozzafiato del Vesuvio, del Golfo di Napoli, di tutti i paesi circostanti, specialmente di sera, quando le varie luminarie compongono uno spettacolo per gli occhi.;generici;40.72668543100639;14.597990797318102
Basilica Cattedrale di San Prisco;la cattedrale era nella forma esteriore e nella struttura come si presenta attualmente. Alla cattedrale di San Prisco si accede attraverso il campanile barocco eretto nel 1724.A poca distanza dal quale è posta una grande vasca marmorea di età imperiale.;generici;40.73838302219776;14.6519720893817
Basilica e Convento di Sant'Antonio;Il convento di Sant'Antonio è posizionato nella sommità del largo omonimo sul fianco meridionale della collina del parco di Nocera Inferiore. Dominano la piazza con l'imponente  scalinata che porta al porticato d'ingresso.;generici;40.74715327045672;14.645890829858043
Basilica e Convento di Sant'Anna;Il monastero di Sant'Anna è una delle principali strutture conventuali di Nocera Inferiore. La struttura femminile è dedicata all'ordine domenicano e osserva regole di clausura.;generici;40.75076171462192;14.638949232791845
Chiesa di Sant'Angelo in Grotta;inizialmente fu ospizio del monastero della trinità di cava, l'edificio che ospita la chiesa è a tre navate, all'interno è visibile un affresco raffigurante la colomba dello spirito santo. Anticamente l'ingresso era consentito attraverso un portale opposto alla parte absidale.;generici;40.74149738695078;14.634885204725826
Chiesa di San Matteo;per la sua importanza e antichità è considerata la chiesa madre di Nocera inferiore, l'interno è composto da tre navate due degli altari laterali provengono dalla dismessa chiesa benedettina di san Giovanni in parco.;generici;40.74342306588077;14.638177054989908
Chiesa di San Giovanni in Parco;nel 1716 divenne abbazia dipendente  da Montevergine. Dopo il crollo della facciata e della navata, si conserva solo la parte presbiteriale con i resti di un pavimento di maiolica.;generici;40.74859737868848;14.639990393086096
Convento di San Giovanni in Parco;nel 1716 divenne abbazia dipendente da Montevergine, si conserva solo la parte presbiteriale con i resti di un pavimento di maiolica;generici;40.74859737868848;14.639990393086096
Monastero di Santa Chiara;la chiesa presenta un'elegante facciata barocca, all'interno è conservato un dipinto di Angelo Solimena, raffigurante la Madonna col bambino;generici;40.74257691092177;14.62934503170981
Palazzo vescovile;"Sulla facciata sud occidentale del palazzo è ancora presente lo stemma della casata, addossato alla cattedrale, il palazzo presenta una pianta ad ""L"" e fu realizzato su due livelli.";generici;40.7407655736758;14.65146984705382
Curia diocesana;una sede della chiesa cattolica in Italia suffraganea dell'arcidiocesi di Salerno-Campania-Acerno appartenente alla regione ecclesiastica Campania, è retta dal vescovo Giuseppe Giudice.;generici;40.74079808934383;14.651587864249818
Chiesa di Sant'Andrea;La chiesetta è posta a destra dell'edificio conventuale, con il prospetto che dà verso Nocera Superiore e Cava de'Tirreni. Nota per la piccola cupola.;generici;40.74859905871537;14.644309355622022
Convento di Sant'Andrea;L'edificio, ha un'ampia pianta quadrata e all'interno conserva un coro ligneo settecentesco, dipinti e varie lastre tombali. Fu fondato dal terzo duca di Nocera Inferiore, Alfonso Carafa, la cui tomba è conservata all'ingresso della struttura. Il convento fu seriamente danneggiato dall'eruzione del Vesuvio nel 1631 e restaurato con il concorso dei cittadini.;generici;40.74859905871537;14.644309355622022
Chiesa del Corpo di Cristo;L'edificio fu eretto su un suolo donato alla diocesi dai Canonici Lateranensi e nacque come cappella della chiesa di San Matteo, da cui si staccò solo nel 1839. L'interno è semplice e il patrimonio artistico è ridotto a causa dei continui furti, tuttavia vi è la presenza di dipinti di scuola solimenesca.;generici;40.74705637565613;14.643754413293966
Santuario di Santa Maria dei Miracoli;Il santuario è un complesso religioso mariano posto a 300 metri sopra il livello del mare. Nel XVIII secolo, dopo una frana, il complesso fu ospitato spostato a valle e il complesso andò in decadenza, fu ristrutturato nel corso dell'Ottocento. Nel 1973 fu elevato a Santuario Diocesano Mariano dal vescovo Jolando Nuzzi.;generici;40.7280490762134;14.642135624933369
Chiesa di San Bartolomeo;La chiesa è stata costruita come chiesa di lattiguo convento, il corrispondente ordine degli olivetani, che si è trasferito al convento precedentemente ospitato presso il santuario di Montalbino, sempre a Nocera Inferiore. Durante la sua storia, la parrocchia è stata ospitata presso due strutture precedenti. Dopo esser stata la rilevanza dell'ordine degli olivetani, l'area che ospita la chiesa è conosciuta anche con il nome di monte Olivio.;generici;40.74845296603641;14.648865661379102
Chiesa di San Giuseppe;La chiesa si configura in un'architettura semplice, parzialmente immerso nel terreno per ridurre l'emergenza del volume edilizio sul fianco della montagna.;generici;40.73904224249191;14.64684454136844
Chiesa dei Santi Apostoli Simone e Giuda;"La chiesa sorge nel rione Casella, come riedificazione settecentesca della più antica chiesa abbandonata in forma di parrocchia già nel XVIII secolo. Emidio Lenti decise la soppressione della parrocchia di Casolla, che fu posta sotto la ""Giurisprudenza spirituale del parroco della Cattedrale"".";generici;40.74378363624465;14.652459926825804
Chiesa di Santa Maria del Presepe;La chiesa nota anche come Chiesa di santa Monica, l'edificio sorge a pochi passi da Corso Vittorio Emanuele. Nel 1967, l'intero complesso, totalmente logoro, fu abbattuto. Resistette solo l'area della chiesa che rimaneggiata e rimodernizzata, domina ancora oggi piazza Amendola e piazzale D'amora. Nell'attuale struttura, di rilievo sono i tre mosaici dorati, tra i quali spicca quello imponente raffigurante la navità posto alle spalle dell'altare.;generici;40.7425690971037;14.641804226825789
Chiesa di Maria Immacolata;"Una chiesa costruita negli anni 60 con struttura mista in tufo e cemento armata con pianta spiraliforme; un intervento reso possibile dai fondi CEI per il finanziamento dell'edilizia di culto. Un giovane parroco deciso ad avvalersi di giovani professionalit provenienti dal territorio. L'immagine complessiva vuole ottenere ad una pulizia visiva per creare una grande atmosfera di serenità e pace.";generici;40.744962804501625;14.63026471291607
Chiesa di San Giovanni (nuova);"La chiesa di stile moderno a pianta centrale con il volume cilindrico dell'aula inglobato nell'alta massa muraria della canonica e degli spazzi parrocchiali; identici sono gli allineamenti e le altezze dei volumi e delle sodature decorative, le quote dei materiali e i moduli compositivi.";generici;40.75188424940523;14.635375628844082
Chiesa di Sant'Anna a Fiano;La chiesa fu edificata quando, il 7 marzo del 1789, suor Maria Clementina Sellito, priora del monastero domenicano di sant'Anna, invio una supplica al re Ferdinando IV, per ottenere il permesso di erigere una cappella in una masseria di Fiano, già di proprietà del convento. Il luogo di culto doveva permettere ai coloni, che abitavano lì, di ascoltare la messa senza raggiungere le distanti Nocera o Sarno. Suor Maria Clementino ottenne il permesso reale il 14 agosto del 1789, le suore poi affidarono il lavoro all'architetto napoletano Andrea Starace.;generici;40.750892799950186;14.638247066567804
Chiesa di San Giovanni (vecchia);"La chiesa di San Giovanni sorgeva a ridosso della cinta muraria della città di Nocera, dando il nome alle torri di difesa della zona, nota come casale di San Giovanni o Santojassi. La struttura esisteva antecedentemente al 955, quando venne in possesso dei benedettini verginali, l'ordine del santuario di Montevergine fondato, presso Avellino, che intorno al XII secolo, ne fecero un cenacolo. Della chiesa, dopo il crollo della navata e della facciata, si conserva solo la parte presbiteriane  con i resti di un significativo pavimento di maiolica settecentesca a grande disegno in cui sono da osservare due corretti in legno dorato e un affresco nella volta, raffigurante la ""Visione di San Guglielmo"".";generici;40.75450112314993;14.63227862041991
Chiesa della Madonna del Parto, detta anche Sant'Anna 'a scura (Sperandei);Informazione assente;generici;40.746615;14.639742
Chiesa di Santa Maria a Pago;La piccola chiesetta sorge su una struttura più volte ristrutturata. Essa rappresenta il cento della comunità, inoltre è a capo anche delle località limotrofe di San Mauro e Padula. La località è legata anche al culto di San Giovanni Battista della vicina Cicalesi, ovvero onorando la Vergine durante il mese a lei dedicato, ciò Maggio.;generici;40.766218;14.624637
Chiesa di San Gioacchino;Informazione assente;generici;40.744915;14.63596
Cappella di San Nicola;In passato conosciuta come cappella di Santa Maria a Monte, dedicata alla Madonna dei Miracoli di Montalbino. Successivamente, viene dedicata a San Nicola, per via della sua statua, sin dal 1844.;generici;40.742835;14.652068
Cappella di Santa Sofia;All'esterno la cappella si dimostra di piccole dimensioni, dotata di due finestre quadrongolari poste lateralmente poste lateralmente. Sopra la facciata anteriore è presente una finestrella circolare e sopra di essa un piccolo campanile. Sopra il portone dell'ingresso della cappella è presente una lapide in pietra che ricorda la fondazione della cappella gentilizia.;generici;40.743576;14.642222
Cappella de Guidobaldi;Fa parte della struttura del Palazzo Fienga, una struttura della metà del XIX secolo costruita sulla sommità della Collina del Parco a Nocera Inferiore.Originariamente era presente sulla collina una struttura, più piccola, appartenente alla famiglia De Guidobaldi. Successivamente l'area fu' acquistata dalla famiglia Fienga che ampliò il palazzo. Il palazzo è addossato al castello del Parco.;generici;40.749832;14.642614
Cappella di San Giacomo;Fa parte del Palazzo Guerritore - Broya. Il palazzo ospita l'antica cappella di San Giacomo dei Califano, oggi sconsacrata. Fu realizzata all'inizio del Seicento per volere di Annibale Califano, che impose la realizzazione della chiesetta come condizione ereditaria quando la struttura palaziale passò ai Broya.;generici;40.745141;14.639518
Cappella di San Lorenzo a Piedimonte;La cappella nel suo origine, doveva far parte di un antico complesso di tipo Gentilizio dell'inizio dell'ottocento, oggi come da tradizione orante la vedono trasferita alla Parrocchia.La cappella di San Lorenzo incassonata tra le case del centro storico di Nocera, tra la località Piedimonte e l'antico quartiere di Petraccetta, è una modesta cappella gentilizia donata alla parrocchia di San Bartolomeo Apostolo in anni recenti.;generici;40.752326;14.64748
Cappella della Madonna delle Grazie a Piedimonte;Sorge in uno dei più antichi e popolosi rioni nocerini: Piedimonte.;generici;40.750833;14.646111
Cappella di Santa Maria di Costantinopoli (via Astuti);Caratterizza il famoso quartiere nocerino Liporta.;generici;40.74493925424863;14.636881158101104
Cappella del Buon Consiglio (al Casale Nuovo);"La cappella probabilmente di tipo ""gentilizia"", conserva delle sue origini il portale di ingresso databile inizio XIX sec. , mentre le uniche finestre che danno su via C.so Vittorio Emanuele conservano tracce di decori che riprendono le finestre ad ogiva. Gli interni, restaurata negli anni 90, conserva stucchi e decorazioni di un probabile restauro di fine 800.La cappella probabilmente di tipo ""gentilizia"", conserva delle sue origini il portale di ingresso databile inizio XIX sec. , mentre le uniche finestre che danno su via C.so Vittorio Emanuele conservano tracce di decori che riprendono le finestre ad ogiva. Gli interni, restaurata negli anni 90, conserva stucchi e decorazioni di un probabile restauro di fine 800.";generici;40.74360574108386;14.63483883923017
Cappella del Buon Consiglio (Pietraccetta verso il convento di sant'Andrea sul fianco orientale della Collina del Parco);Caratterizza il famoso quartiere nocerino Pietraccetta.;generici;40.747778;14.6475
Cappella del Buono e Perpetuo soccorso (presso l'ex convento in via Garibaldi);Costruita sull'ex convento in via Garibaldi.;generici;40.74378065483005;14.639583540919867
Convento degli Agostiniani;Il monastero presentava un portone che non permetteva l'ingresso delle carrozze. Procedendo attraverso di esso, il piano terreno era costituito da due lunghe stanze, un porticato e una scala che portava al piano superiore. Quest'ultimo aveva un lungo corridoio dove si affacciavano sette piccole stanze utilizzate per accogliere religiosi e gendarmi reali. Completava la struttura, un cortile con pozzo, un piccolo giardino e un quartino che sorgeva nella piazza, che ospitava diverse botteghe, un refettorio ed una cucina. Ad oggi ospita la chiesa di Santa Monica, riedificata nel corso del XX secolo, nota anche come la chiesa di Santa Maria del Presepe.;generici;40.74237807241263;14.641794838618056
Congregazione delle Suore Terziarie Francescane di Sant'Antonio;Oggi l'edificio ospita una casa di riposo.;generici;40.74321547932844;14.64276205640912
Palazzo Fienga;Il Palazzo Fienga è una struttura della metà del XIX secolo costruita sulla sommità della Collina del Parco a Nocera Inferiore. Originariamente era presente sulla collina una struttura, più piccola, appartenente alla famiglia De Guidobaldi. Successivamente l'area fu' acquistata dalla famiglia Fienga che ampliò il palazzo. Il palazzo è addossato al castello del Parco. Durante l'estate ospita manifestazioni teatrali e musicali. Nella realizzazione finale del Palazzo Fienga la struttura, posta su due livelli, mostra pianta rettangolare e comprende.;generici;40.750136;14.642919
